sampling_method,model__dataset,tunability_risk_diff
bayesian,xgboost__1590,0.0006485177985627
bayesian,xgboost__1510,0.0007206026858826
bayesian,xgboost__1461,0.0
bayesian,xgboost__24,0.0117920576780101
bayesian,xgboost__40945,0.0016022544283412
random,xgboost__1590,0.0030858551877135
random,xgboost__1510,0.0011876166560084
random,xgboost__1461,0.007249037844462
random,xgboost__24,0.0110455434058579
random,xgboost__40945,0.0041302814201366
grid,xgboost__1590,0.0112366322742426
grid,xgboost__1510,0.0019000523381459
grid,xgboost__1461,0.0013899287931991
grid,xgboost__24,0.0034374740734604
grid,xgboost__40945,0.0112749789126601
