Param_set,Avg_F1
1,0.8967612060139936
2,0.8559459761763496
3,0.9183206028641884
4,0.9216977106242998
5,0.929149833281558
6,0.923015357741055
7,0.7294972426409293
8,0.915244974112349
9,0.9230689953860373
10,0.9219060924894676
11,0.9243869524541458
12,0.9060256624356164
13,0.9051349776250596
14,0.9166631763578916
15,0.9044590327718339
16,0.9229947853429497
17,0.920286641640698
18,0.9188886028974127
19,0.9129039543700934
20,0.9218062709926307
21,0.9236025546136217
22,0.9134961299565026
23,0.9220070198685646
24,0.9237634518318846
25,0.9199653480166504
26,0.9071874834378018
27,0.9168748250500613
28,0.9098156979055607
29,0.9073375038694907
30,0.9055273612311612
31,0.9003667638355843
32,0.901546879055387
33,0.9134190604272834
34,0.926174116861947
35,0.9245622860559669
36,0.9121630229224615
37,0.9153550652957874
38,0.9106292497690549
39,0.9026272720170933
40,0.9260826173072426
41,0.9234007432195267
42,0.9008514086892883
43,0.9129691533636102
44,0.9083821171194555
45,0.8980024582856464
46,0.9047786153870531
47,0.9085600024051111
48,0.8984055194324428
49,0.920712442892645
50,0.9216126757929124
