number,value,user_attrs_feature_fraction,user_attrs_learning_rate,user_attrs_max_depth,user_attrs_n_estimators,user_attrs_num_leaves,user_attrs_subsample,state
0,0.512745126685683,0.6510636494911783,0.05389266304006672,4,1967,81,0.7528082014225329,COMPLETE
1,0.5138689175894791,0.7428899059367321,0.04773437649708557,6,717,223,0.9949036804586926,COMPLETE
2,0.5113544815485914,0.6552647647501784,0.019818850505585156,8,1721,129,0.5299507004863347,COMPLETE
3,0.5201563602249736,0.9209663091643531,0.020816998199494886,9,336,149,0.909123056376472,COMPLETE
4,0.5131293581254637,0.9917506654757551,0.042928941066833565,6,665,70,0.6932602527858744,COMPLETE
5,0.5242999274675699,0.8614583852796387,0.002448506652610885,9,439,189,0.9983602156846966,COMPLETE
6,0.5214113073188752,0.7682939764071777,0.01043702078390229,6,1269,252,0.7522675842047584,COMPLETE
7,0.5069407915463752,0.9817029826136272,0.14795591698976013,8,1298,221,0.9321930797087594,COMPLETE
8,0.5064533957407858,0.897455010772282,0.09682911944534939,7,1340,185,0.6786485188019511,COMPLETE
9,0.5208196574945387,0.8484655317155254,0.011167813399725422,8,603,109,0.944451571286651,COMPLETE
10,0.5085446759582678,0.7507119894457286,0.08993457219496126,8,1121,204,0.7600353964339095,COMPLETE
11,0.5128173909376885,0.8757285335324271,0.039527314103796986,8,946,127,0.9472508393688359,COMPLETE
12,0.5248765253274064,0.5222442439426965,0.008097928384693542,5,1166,97,0.710329676579322,COMPLETE
13,0.5110492835501268,0.651283707320772,0.24642947436250576,2,1567,44,0.5972930552816575,COMPLETE
14,0.5110866264486598,0.7777211298390263,0.24407921966718862,2,1843,175,0.6474741577955458,COMPLETE
15,0.5063707647596175,0.5177996020862234,0.19756457072575054,6,1542,119,0.954563417488321,COMPLETE
16,0.5242245610294329,0.8660128200702257,0.034415590255137164,3,656,118,0.7146832934999057,COMPLETE
17,0.5195639945508616,0.8600176526804052,0.025603735339637595,7,801,34,0.8383018373040021,COMPLETE
18,0.5262810351042423,0.7939270864337598,0.07396703408433372,2,317,232,0.6740364440194926,COMPLETE
19,0.5248214805100455,0.7785821974772668,0.0018938211135561206,11,810,229,0.8106580178706155,COMPLETE
20,0.5275126140891039,0.7270008368080474,0.009045223699706312,7,481,33,0.7200397396019116,COMPLETE
21,0.5110630599483139,0.5129733611948888,0.13937418538879476,8,711,38,0.7371656286413983,COMPLETE
22,0.5095578020950221,0.5581055686204206,0.04079868305760251,9,1552,162,0.8827383409617259,COMPLETE
23,0.5072325739799524,0.6612966871370618,0.20460595821779046,9,1555,195,0.9837524500704691,COMPLETE
24,0.5142836250431527,0.539904912725218,0.018502540692876407,11,919,210,0.7712759775391924,COMPLETE
25,0.5208625279815196,0.9370020381093513,0.0340942105785756,9,195,69,0.6831317200825276,COMPLETE
26,0.5122696795745408,0.6375905425603763,0.03676636801753404,6,1511,239,0.5368180788722099,COMPLETE
27,0.5108275721566945,0.6094544523135835,0.170960683941756,9,256,103,0.6474171740514783,COMPLETE
28,0.5177987750093608,0.5417318471527823,0.008990018307860484,10,1792,107,0.8768339014539683,COMPLETE
29,0.5203422724191825,0.9946555331442932,0.03228100343873317,3,1084,120,0.7726090892006529,COMPLETE
30,0.5231412567434531,0.948906846572765,0.00415716584284856,9,152,181,0.5398063921185283,COMPLETE
31,0.5106071467531256,0.906327128697054,0.12386929006915717,11,938,26,0.7077069602677396,COMPLETE
32,0.5216945621786317,0.8261344604201701,0.004163436675920537,9,1758,113,0.8131679989847239,COMPLETE
33,0.5077291671844986,0.922415655637271,0.1322460655653504,5,1684,201,0.7176374383838009,COMPLETE
34,0.5252045785917309,0.9751407853771936,0.0011560327589127464,6,318,195,0.917933658841342,COMPLETE
35,0.5290906813202548,0.5942716537525969,0.002818877547827534,4,484,44,0.5387535880465957,COMPLETE
36,0.5064305517037976,0.9324418994363561,0.24916302009318034,7,1965,136,0.5440044600565492,COMPLETE
37,0.5098950370556864,0.987888339383467,0.06790787172585006,8,1679,88,0.5194709135903255,COMPLETE
38,0.5268218437885793,0.7215433243402412,0.001479524766021718,9,435,205,0.8095217504787968,COMPLETE
39,0.509777162637216,0.8194336310569792,0.03388690684881948,10,1743,136,0.7986795511762657,COMPLETE
40,0.5287310804618679,0.7540004856116728,0.0012044532501633617,4,1237,96,0.8143489294115314,COMPLETE
41,0.5238548584439201,0.892309408868684,0.008864788565731006,9,406,141,0.6715935315705794,COMPLETE
42,0.5077432818727793,0.9928268910743114,0.23892542011160434,4,1013,90,0.8625938112559117,COMPLETE
43,0.5279088846548003,0.5899769607024484,0.004550274055371053,2,247,126,0.5795925723513817,COMPLETE
44,0.5154184462463157,0.9075284972015689,0.04291809773304083,7,595,236,0.8870913786689949,COMPLETE
45,0.5203074144340948,0.9391035448563669,0.019385461188246102,11,556,69,0.9750611875446952,COMPLETE
46,0.5278863884777075,0.5023193307893138,0.003032317948867366,7,1220,29,0.7031013202949717,COMPLETE
47,0.5269355035566375,0.9289286381070084,0.001609782725311328,10,837,44,0.9863625288387519,COMPLETE
48,0.522576820395325,0.9054348404271417,0.0027154793171318995,9,1855,149,0.690001829053651,COMPLETE
49,0.5284684742758171,0.8047926227504323,0.0010590369031875113,5,1716,221,0.513945660388133,COMPLETE
